name,major,score,activity,achievement,nonacademic_achievement,accept_status
Bert Byrd,ipa,93,Yes,No,No,No
Ethan Adkins,ipa,85,No,No,Yes,Yes
Holmes Sawyer,ipa,96,Yes,No,No,Yes
Oleg Barlow,ipa,94,No,Yes,No,Yes
Thane Carroll,ipa,80,No,No,No,Yes
Chandler Brock,ips,93,Yes,No,No,No
Tara Bonner,ips,86,No,Yes,Yes,Yes
Signe Gutierrez,ips,86,No,Yes,No,Yes
Joel Blanchard,ips,98,No,No,No,No
Damian Gibson,ipa,84,No,Yes,No,Yes
Xavier Joyce,ipa,92,No,Yes,Yes,No
Alisa Moss,ipa,97,No,Yes,No,Yes
Sonya Williamson,ipa,84,Yes,Yes,No,Yes
Zia Daugherty,ipa,86,Yes,Yes,No,Yes
Xavier Spence,ipa,82,No,Yes,Yes,Yes
Vaughan Moran,ips,81,Yes,No,Yes,Yes
Melanie Benton,ipa,92,Yes,No,No,No
Kaye Henry,ips,82,Yes,No,Yes,Yes
Uriah Walsh,ipa,83,Yes,Yes,No,Yes
Owen Jimenez,ips,83,Yes,Yes,Yes,Yes
Ina Avery,ips,95,No,Yes,Yes,No
Sybill Petty,ipa,89,No,Yes,Yes,Yes
Pearl Bowers,ipa,82,Yes,Yes,Yes,Yes
Mara Sharp,ips,81,No,Yes,No,Yes
Mollie Prince,ips,89,No,No,Yes,No
Jerome Russo,ipa,90,Yes,Yes,No,Yes
Kieran Villarreal,ipa,88,Yes,Yes,Yes,Yes
Maisie Ellis,ipa,80,No,Yes,No,Yes
Alfreda Emerson,ips,91,No,No,No,No
Brenda Jarvis,ipa,81,No,No,No,Yes
MacKensie Strickland,ipa,93,No,Yes,No,No
Sylvia Preston,ips,98,Yes,No,Yes,No
Pandora Todd,ipa,91,Yes,Yes,No,Yes
Kennedy Calderon,ipa,89,No,Yes,No,No
Jasper Acevedo,ipa,84,No,No,Yes,Yes
Justina Rosario,ipa,97,No,No,Yes,Yes
Quinlan Flowers,ips,98,No,No,No,No
Faith Jensen,ipa,82,Yes,No,No,Yes
Alma Farmer,ips,96,No,Yes,No,Yes
Hiram Butler,ips,85,No,No,Yes,Yes
Karyn Norris,ipa,85,Yes,Yes,No,Yes
Guinevere Wood,ips,80,No,No,Yes,Yes
Hector Blake,ipa,84,No,No,No,Yes
Abel Salazar,ips,84,Yes,Yes,Yes,Yes
Devin Rasmussen,ips,83,Yes,Yes,No,Yes
Macaulay Waller,ips,91,Yes,Yes,Yes,Yes
Zeph Dillon,ipa,92,No,No,No,No
Elvis Jefferson,ipa,90,No,No,No,Yes
Brenna Hill,ipa,82,Yes,No,No,Yes
Leo Mcgowan,ips,88,No,No,No,No
Abra Solomon,ipa,92,Yes,No,Yes,No
Mohammad Clayton,ipa,96,Yes,No,No,No
Deacon Fitzpatrick,ipa,95,Yes,Yes,No,Yes
Anika Daniel,ipa,97,Yes,Yes,Yes,Yes
Georgia Serrano,ipa,84,Yes,No,Yes,Yes
Pearl Combs,ipa,95,Yes,Yes,Yes,No
Isadora Kim,ips,89,Yes,No,No,No
Fritz Weaver,ipa,90,No,Yes,No,No
Jordan Gates,ips,94,Yes,No,Yes,No
Shad Roberson,ipa,87,Yes,Yes,Yes,Yes
Nathan Valdez,ips,82,No,Yes,Yes,Yes
Conan Munoz,ipa,90,Yes,No,Yes,No
Wayne Joseph,ips,85,Yes,No,Yes,Yes
Barry Burch,ipa,93,Yes,Yes,Yes,No
Grady Logan,ips,85,Yes,Yes,Yes,Yes
Katelyn Watkins,ipa,97,No,No,Yes,No
Zelenia Ware,ipa,98,Yes,Yes,Yes,No
Preston Saunders,ips,96,No,Yes,No,Yes
Aristotle Hanson,ipa,93,Yes,No,No,No
Germane Allison,ips,90,Yes,Yes,Yes,No
Edward Hunter,ips,90,No,No,No,No
Jenette Olsen,ips,96,No,No,Yes,Yes
Octavius Klein,ips,96,No,No,Yes,No
Destiny Hansen,ips,89,No,Yes,No,No
Rina Kirk,ipa,93,Yes,Yes,No,Yes
Tanner Beard,ipa,81,Yes,Yes,No,Yes
Astra Yates,ipa,95,No,Yes,Yes,No
Akeem Maynard,ips,91,Yes,No,Yes,No
Karly Savage,ipa,96,Yes,Yes,Yes,Yes
Wade Roach,ips,80,No,No,Yes,Yes
Jakeem Mcmahon,ipa,83,No,No,No,Yes
George Chen,ips,94,Yes,No,No,Yes
Sigourney Chambers,ipa,98,Yes,No,No,No
Marvin Skinner,ipa,91,No,No,No,No
Kaitlin Medina,ipa,80,Yes,No,Yes,Yes
Kasper Mclaughlin,ips,97,No,Yes,No,Yes
Odysseus Smith,ips,84,Yes,No,No,Yes
Carl Bailey,ips,89,Yes,No,Yes,No
Zahir Duncan,ipa,87,No,Yes,Yes,No
Colette Larsen,ips,96,Yes,Yes,No,Yes
Lesley Hurst,ips,90,Yes,No,No,No
Sarah Mcfadden,ipa,96,Yes,No,No,Yes
Armand Medina,ips,83,No,No,Yes,Yes
Garrett Rich,ips,91,Yes,No,Yes,No
Jarrod Velazquez,ipa,82,No,No,No,Yes
Mary Fuentes,ipa,82,No,Yes,No,Yes
Rosalyn Cameron,ips,96,No,No,Yes,Yes
Anne Anderson,ips,90,Yes,No,No,No
Dorian Pacheco,ips,81,Yes,No,No,Yes
Ferdinand Brewer,ipa,81,No,No,Yes,Yes
Lysandra Briggs,ipa,85,No,Yes,Yes,Yes
Katelyn Morris,ipa,89,Yes,No,No,No
Jamal Gay,ipa,90,Yes,No,Yes,No
Ila Howell,ipa,96,Yes,No,No,No
Carter Barr,ipa,92,No,No,Yes,Yes
Yoshio Nielsen,ips,84,Yes,No,Yes,Yes
Marcia Wilcox,ips,88,Yes,Yes,No,No
Ariana Delacruz,ipa,84,No,Yes,No,Yes
Clare Woods,ipa,87,No,Yes,Yes,No
Megan Cote,ipa,92,Yes,No,No,Yes
Mechelle Barry,ipa,85,No,Yes,No,Yes
Edan Fuller,ips,83,Yes,Yes,No,Yes
Phelan Nguyen,ips,85,Yes,Yes,Yes,Yes
Elvis Farrell,ips,95,Yes,No,Yes,No
Mariko Garrett,ips,98,No,Yes,Yes,No
Dustin Sullivan,ipa,90,Yes,No,No,No
Lacey Rowland,ips,82,Yes,No,No,Yes
Latifah Myers,ipa,94,No,Yes,No,Yes
Ifeoma Blake,ipa,82,Yes,Yes,No,Yes
Branden Soto,ipa,87,No,No,Yes,No
Camilla Wilson,ips,94,Yes,Yes,Yes,No
Mark Carver,ipa,88,No,No,Yes,No
Iliana Dyer,ips,97,No,Yes,Yes,No
Zephania Fulton,ipa,97,Yes,Yes,No,No
Kiara Hester,ipa,86,No,No,Yes,Yes
Dean Mccullough,ipa,92,Yes,No,Yes,No
Alika Jenkins,ips,83,No,Yes,No,Yes
Tatyana Holland,ips,83,No,No,Yes,Yes
Ora Frank,ipa,87,Yes,No,Yes,Yes
Tanek Rosario,ipa,98,No,Yes,Yes,No
Gary Lambert,ipa,88,Yes,Yes,No,No
Jessamine Stewart,ips,91,Yes,Yes,Yes,No
Justine Moss,ipa,89,No,No,Yes,No
Emma Mckenzie,ips,82,No,Yes,No,Yes
Sandra Sampson,ipa,92,No,Yes,No,No
Bevis Ellis,ipa,91,No,Yes,No,No
Indigo Ryan,ips,84,Yes,No,No,Yes
Ainsley Weiss,ipa,90,No,No,No,No
Fay Andrews,ipa,97,No,Yes,Yes,No
Alexa Whitley,ips,83,Yes,Yes,Yes,Yes
Forrest Wong,ipa,97,Yes,No,Yes,Yes
Paki Page,ipa,94,Yes,Yes,No,No
Beverly Guy,ips,92,Yes,Yes,No,No
Hyacinth Mcgee,ipa,97,Yes,No,No,Yes
Bevis Newman,ipa,94,No,No,Yes,No
Yardley Navarro,ipa,88,No,Yes,No,No
Todd Jensen,ips,97,Yes,Yes,No,No
Hall Peterson,ips,94,No,No,No,No
Oprah Fernandez,ipa,96,Yes,No,No,No
Hall French,ips,96,Yes,Yes,No,No
Kibo Lang,ipa,98,Yes,No,Yes,Yes
Kuame Porter,ips,83,No,Yes,No,Yes
Charlotte Landry,ips,86,No,No,Yes,Yes
Lillith Molina,ipa,97,No,No,Yes,No
Reese Berry,ips,90,Yes,No,No,No
Vernon Barber,ipa,87,No,No,No,No
Joshua Joseph,ipa,87,No,Yes,Yes,Yes
Ava Salinas,ips,87,Yes,No,No,Yes
Fleur Mays,ipa,94,No,No,Yes,No
Macey Giles,ipa,81,Yes,Yes,No,Yes
Leroy Marshall,ips,86,Yes,No,No,Yes
Dustin Clemons,ipa,82,No,Yes,No,Yes
Lael Young,ips,85,No,Yes,Yes,Yes
Ashton Armstrong,ips,85,Yes,No,Yes,Yes
Gail Pace,ipa,96,Yes,Yes,Yes,Yes
Hedda Black,ips,82,No,No,Yes,Yes
Lance Ball,ipa,83,Yes,No,Yes,Yes
Odette Melton,ips,98,No,Yes,No,Yes
Phoebe Mooney,ipa,83,Yes,No,Yes,Yes
Tyler Mcgee,ipa,85,Yes,No,Yes,Yes
Barbara Donaldson,ipa,96,No,No,No,No
Trevor Small,ips,87,No,No,Yes,Yes
Caesar Pruitt,ips,86,No,Yes,No,Yes
Xena Mclean,ips,93,No,No,Yes,No
Dieter Hopper,ips,89,No,Yes,Yes,No
Raven Mills,ipa,92,No,Yes,No,No
Fulton Woods,ips,88,Yes,Yes,No,No
Alexander Anderson,ips,96,Yes,No,Yes,Yes
Adara Stuart,ipa,87,Yes,No,No,Yes
Uma Lynn,ipa,91,No,Yes,No,No
Karyn Alston,ipa,86,Yes,No,No,Yes
Finn Small,ipa,89,No,No,No,No
Lewis Spencer,ips,84,No,Yes,Yes,Yes
Graham Cardenas,ipa,84,Yes,No,Yes,Yes
Dominique Glenn,ips,87,No,No,Yes,Yes
Timon Sparks,ips,97,No,No,Yes,No
Violet Mcmillan,ipa,85,Yes,Yes,No,Yes
Teegan Houston,ips,90,Yes,No,Yes,No
Brock Case,ipa,98,No,No,No,Yes
Riley Knight,ips,87,No,No,No,Yes
Cody Gillespie,ipa,95,Yes,No,Yes,No
Xanthus Ruiz,ipa,87,No,No,Yes,Yes
Samantha Hicks,ipa,83,Yes,No,Yes,Yes
Cadman Hall,ips,90,Yes,Yes,No,No
Farrah Snyder,ipa,97,No,No,No,No
Kessie Reed,ipa,92,No,Yes,No,No
Jael Morgan,ipa,83,Yes,Yes,No,Yes
Steel Montoya,ips,83,No,Yes,Yes,Yes
Aline Gonzalez,ipa,90,No,No,Yes,No
Noelani Castaneda,ipa,81,Yes,Yes,Yes,Yes
Fritz Tanner,ips,83,No,Yes,No,Yes
Stella Lloyd,ipa,97,No,No,Yes,No
Quinlan Shepherd,ips,87,No,No,Yes,Yes
Maris Reyes,ips,89,Yes,No,Yes,No
Maxine Jarvis,ipa,86,Yes,Yes,Yes,Yes
Pascale Gamble,ipa,88,Yes,No,No,No
Hop Shaffer,ipa,84,No,Yes,No,Yes
Lucius Lee,ipa,95,No,Yes,No,Yes
Thor Oneil,ips,88,No,No,No,No
Skyler Richardson,ipa,96,No,No,Yes,Yes
Debra Finley,ips,97,Yes,No,No,Yes
Shad Webb,ips,89,No,Yes,No,No
Fritz Gallegos,ipa,85,No,Yes,No,Yes
Fuller Barrett,ips,93,No,No,No,No
Sawyer Pennington,ipa,88,Yes,Yes,No,No
Hilary Guerrero,ipa,98,Yes,No,No,No
David Jordan,ips,87,No,Yes,No,Yes
Breanna King,ipa,96,Yes,Yes,No,No
Chaney Wynn,ips,98,No,No,No,Yes
Jane Barr,ips,95,Yes,Yes,Yes,No
Rahim Lamb,ipa,93,No,No,Yes,Yes
Imani Romero,ipa,87,Yes,Yes,Yes,Yes
Karen Silva,ipa,84,No,Yes,Yes,Yes
Penelope Wall,ips,84,Yes,No,Yes,Yes
Ivan Stone,ips,85,No,Yes,No,Yes
Cathleen Lang,ips,92,Yes,Yes,Yes,No
Carolyn Peters,ipa,85,No,No,Yes,Yes
Karleigh Sheppard,ips,91,No,No,No,No
Jeanette Lee,ips,93,Yes,Yes,Yes,No
Dahlia Oneal,ipa,98,Yes,No,No,Yes
Kameko Brock,ipa,81,No,No,Yes,Yes
Michelle York,ips,88,Yes,Yes,No,No
Darrel Sandoval,ipa,97,Yes,No,No,No
Warren Riggs,ipa,82,Yes,Yes,Yes,Yes
Ruth Mendez,ipa,94,No,No,Yes,No
Charissa Dale,ipa,84,Yes,Yes,Yes,Yes
Odysseus Steele,ips,90,Yes,No,Yes,No
Gail Solomon,ips,94,Yes,No,No,No
Mira Mullins,ipa,94,No,No,No,No
Grace Clay,ipa,91,No,Yes,No,No
Stone Moreno,ipa,84,No,No,Yes,Yes
August Mcknight,ipa,96,Yes,Yes,Yes,Yes
Callum Barrett,ips,86,Yes,No,No,Yes
Abigail Zamora,ipa,88,No,No,Yes,No
Orson Huff,ips,81,No,No,Yes,Yes
Lucy Nieves,ips,95,Yes,Yes,No,No
Nevada Molina,ipa,89,Yes,No,No,No
Dolan Fry,ips,89,Yes,No,No,No
Josiah Kerr,ips,83,No,No,No,Yes
Pascale Stephens,ips,84,No,No,No,Yes
Keefe Schmidt,ipa,85,No,Yes,Yes,Yes
Calvin Mckinney,ips,96,Yes,Yes,No,Yes
Melanie Poole,ips,87,No,No,Yes,Yes
Xyla Russo,ips,97,No,No,No,No
Beatrice Sweet,ipa,82,No,Yes,Yes,Yes
Lael Wong,ipa,89,Yes,No,Yes,No
Jarrod Waller,ips,85,No,Yes,No,Yes
Deirdre Pollard,ips,81,No,No,Yes,Yes
Macy Luna,ips,86,No,Yes,Yes,Yes
Cyrus Peterson,ips,94,No,Yes,Yes,No
Fletcher Briggs,ipa,95,No,No,No,Yes
Skyler Dickerson,ipa,84,Yes,No,No,Yes
Holmes Ewing,ips,84,Yes,Yes,No,Yes
Daquan Santos,ips,81,Yes,Yes,Yes,Yes
Sandra Sanford,ips,96,Yes,No,Yes,Yes
Haley Gross,ips,84,Yes,No,Yes,No
Bruce Moon,ips,95,Yes,No,No,No
Kelsie Mclean,ipa,97,Yes,No,Yes,No
Macy Banks,ipa,83,No,Yes,Yes,Yes
Geoffrey Stevenson,ips,82,Yes,Yes,No,Yes
Celeste Ochoa,ipa,94,Yes,Yes,Yes,No
Donna Aguilar,ips,81,No,No,Yes,Yes
Ivy Stafford,ips,95,Yes,Yes,No,No
Jada Gamble,ips,85,No,No,Yes,Yes
Alisa Guthrie,ipa,86,No,No,No,Yes
Gisela Donaldson,ips,87,No,Yes,Yes,Yes
Vivien Hawkins,ipa,96,Yes,No,Yes,Yes
Sylvia Willis,ipa,87,Yes,No,Yes,Yes
Megan Dawson,ips,88,Yes,Yes,Yes,No
Joel Gonzalez,ips,81,Yes,Yes,No,Yes
Aretha Delaney,ipa,87,Yes,No,No,Yes
Gillian Patton,ipa,89,No,No,No,No
Candice Sweeney,ips,84,No,Yes,Yes,Yes
Leandra Doyle,ipa,92,No,No,No,No
Sylvester Oliver,ips,84,Yes,Yes,No,Yes
Nomlanga Mack,ipa,89,No,Yes,Yes,No
Bell Wiley,ipa,97,No,Yes,No,Yes
Vanna Hicks,ips,96,Yes,No,Yes,Yes
Lucius Cook,ipa,97,No,Yes,No,Yes
Hall Wyatt,ips,85,No,Yes,Yes,Yes
Owen Parsons,ipa,81,No,Yes,Yes,Yes
Burke Forbes,ipa,93,No,No,Yes,No
Charissa Cleveland,ips,90,Yes,Yes,Yes,No
Holly Boone,ips,81,No,Yes,Yes,Yes
Gary Coleman,ips,82,Yes,Yes,Yes,Yes
Colette Hancock,ipa,81,Yes,No,Yes,Yes
Ignatius Mccarty,ipa,89,Yes,Yes,No,No
Hector Snyder,ipa,98,Yes,No,No,Yes
Harding Mckay,ips,82,Yes,No,No,Yes
Hilary Schneider,ipa,95,Yes,Yes,Yes,Yes
Illana Mason,ips,90,No,No,No,No
Serina Heath,ipa,90,No,Yes,No,No
Angelica Byers,ipa,92,No,No,No,No
Brent Mercer,ips,83,Yes,Yes,No,Yes
Blake Atkins,ips,98,No,Yes,Yes,No
Bryar Mcneil,ips,81,No,No,Yes,Yes
Ramona Ramos,ipa,82,No,No,No,Yes
Leilani Mendez,ipa,91,No,No,Yes,No
Cadman Waters,ips,83,Yes,No,No,Yes
Len Hewitt,ipa,82,No,No,No,Yes
Nayda Hurley,ipa,90,Yes,Yes,No,No
Ebony Maynard,ipa,97,Yes,No,Yes,No
Felix Sharp,ipa,98,Yes,No,No,Yes
Hadassah Ayala,ips,91,No,Yes,No,No
Illana Collins,ips,84,No,Yes,No,Yes
Martena Bell,ipa,92,No,No,Yes,No
Tad Ayala,ipa,97,Yes,No,No,Yes
Nolan Lawrence,ips,97,Yes,No,Yes,Yes
Ivan Hull,ips,84,Yes,No,Yes,Yes
Xenos Cooper,ipa,87,Yes,No,Yes,Yes
Frances Oliver,ipa,90,No,Yes,No,No
Kaye Bray,ipa,92,No,No,Yes,No
Idona Velez,ips,86,No,No,No,Yes
Brady Guy,ipa,89,Yes,Yes,No,No
Christian Whitaker,ipa,89,Yes,No,Yes,No
Ignatius Lloyd,ips,97,No,Yes,No,Yes
Joshua Morrow,ips,86,No,Yes,Yes,Yes
Barry Sheppard,ipa,92,No,No,Yes,No
Daniel Chase,ips,96,Yes,No,No,Yes
Sigourney Calderon,ips,87,No,Yes,Yes,Yes
Carly Finch,ips,86,No,No,Yes,Yes
Brett Garrett,ips,83,Yes,Yes,No,Yes
Ian Manning,ipa,81,Yes,No,Yes,Yes
Joshua Espinoza,ips,85,Yes,No,No,Yes
Kato Petersen,ips,95,Yes,No,Yes,Yes
Kyra Greene,ipa,96,No,Yes,No,No
Hakeem Beach,ipa,83,Yes,No,Yes,Yes
Ferdinand Guerrero,ips,97,Yes,No,Yes,No
Olivia Gonzalez,ips,82,Yes,Yes,No,Yes
Abbot Shaffer,ips,95,Yes,Yes,Yes,No
Wanda Maxwell,ipa,94,No,Yes,Yes,No
Callum Chambers,ipa,96,Yes,Yes,Yes,No
Forrest Anderson,ipa,91,No,No,No,No
Mason Rosario,ips,91,Yes,No,No,No
Abraham Simmons,ips,90,No,Yes,No,No
Zenia Hutchinson,ipa,91,Yes,Yes,Yes,No
Hadassah Lindsey,ipa,93,No,Yes,Yes,No
Melissa Dawson,ipa,90,No,Yes,Yes,No
Kirk Fernandez,ips,96,No,Yes,Yes,Yes
Laurel Spencer,ipa,97,Yes,No,Yes,Yes
Signe Hamilton,ips,88,Yes,No,No,No
Olga Pratt,ipa,92,Yes,No,No,No
Philip Holder,ipa,80,No,No,Yes,Yes
