name,major,score,activity,achievement,nonacademic_achievement,accept_status
Signe Griffin,ips,81,Yes,No,Yes,No
Camilla Leon,ipa,81,Yes,Yes,Yes,No
Quon Patterson,ipa,96,Yes,No,No,Yes
Harlan Curry,ipa,86,Yes,No,No,No
Genevieve Garrett,ips,97,No,No,Yes,Yes
Kaseem Hale,ipa,91,No,No,No,Yes
Hollee Whitfield,ips,88,No,No,No,Yes
Adam Ferrell,ipa,98,No,No,No,Yes
Lois Hogan,ipa,84,No,Yes,No,No
Hamilton Richmond,ipa,98,No,No,No,Yes
Damian Payne,ipa,96,No,No,Yes,Yes
Ferris Russell,ips,88,Yes,Yes,Yes,Yes
Nyssa Logan,ipa,94,No,Yes,No,Yes
Ezra Harmon,ips,93,Yes,No,Yes,Yes
Thaddeus Callahan,ips,80,Yes,No,No,No
Ivana Thompson,ipa,88,No,Yes,No,Yes
Ginger Beasley,ipa,89,Yes,No,No,Yes
Lael Pittman,ips,95,No,Yes,No,Yes
Price Boyer,ipa,87,Yes,Yes,Yes,No
Wayne Garza,ipa,87,No,Yes,Yes,No
Eric Bradford,ips,81,No,No,Yes,No
Lewis Solomon,ips,86,Yes,Yes,No,No
Chava Hendricks,ips,81,Yes,No,Yes,No
Kirestin Castillo,ips,95,No,Yes,No,Yes
Porter Mcmahon,ips,80,No,No,No,No
Willow Bowman,ipa,87,No,Yes,No,No
Paki Bridges,ips,83,Yes,Yes,No,No
Ira Fernandez,ipa,88,Yes,Yes,No,Yes
Gavin Burks,ips,96,Yes,Yes,No,Yes
Vladimir Flores,ips,87,No,Yes,No,No
Daphne Downs,ipa,91,Yes,No,No,Yes
Roanna Mullins,ipa,87,Yes,No,Yes,No
Shana Palmer,ipa,87,Yes,No,No,No
Imogene Holden,ips,88,No,No,No,Yes
Cheyenne Hewitt,ipa,83,Yes,Yes,No,No
Sasha Daniels,ipa,90,No,No,No,Yes
Alma Whitehead,ips,97,Yes,No,No,Yes
Gareth Lowe,ips,81,Yes,Yes,No,No
Ivor Key,ipa,86,No,Yes,Yes,No
Samson Gay,ips,89,Yes,Yes,No,No
Christen Murphy,ipa,84,No,Yes,No,No
Haviva Le,ipa,81,Yes,No,No,No
Jillian Snyder,ips,84,No,No,No,No
Lana Mckenzie,ipa,84,Yes,No,Yes,Yes
Andrew Howe,ipa,87,No,No,Yes,Yes
Pearl Valenzuela,ips,89,No,Yes,Yes,Yes
Anika Dillard,ips,93,Yes,Yes,Yes,Yes
Martha Snyder,ips,95,Yes,Yes,No,Yes
Jack Burgess,ips,90,No,Yes,Yes,Yes
Lani Nolan,ips,81,Yes,No,No,No
Joan Kelley,ips,83,No,No,Yes,No
Theodore Sharpe,ips,82,No,No,Yes,No
Sigourney Mcdonald,ipa,97,Yes,Yes,Yes,Yes
Echo Fisher,ips,95,Yes,Yes,Yes,Yes
Cruz Maddox,ipa,85,Yes,Yes,Yes,No
Ignacia Levy,ipa,80,No,Yes,No,No
Nora Douglas,ips,83,Yes,No,No,No
Amos Munoz,ipa,88,Yes,No,No,Yes
Shannon Hammond,ipa,93,No,Yes,Yes,Yes
Allen Potter,ips,82,Yes,No,No,No
Calvin Hubbard,ipa,91,No,Yes,No,Yes
Ahmed Rhodes,ipa,88,Yes,Yes,No,Yes
Selma Mccullough,ips,98,Yes,No,Yes,No
Lee Meyer,ips,97,No,No,No,Yes
Glenna Cannon,ipa,95,No,No,No,Yes
Plato Gray,ipa,95,No,No,Yes,Yes
Priscilla Hess,ipa,84,No,No,No,No
Yoko Holland,ipa,98,No,Yes,Yes,Yes
Quintessa Black,ipa,82,No,Yes,Yes,No
Garrison Sykes,ipa,88,No,No,Yes,Yes
Rhona Cervantes,ipa,82,No,No,No,No
Kareem Berg,ips,87,No,No,No,No
Emily Hancock,ips,96,Yes,No,No,Yes
Ivor Olson,ipa,89,No,No,Yes,Yes
Cally Gilliam,ips,80,No,Yes,Yes,No
Karly Merrill,ipa,90,Yes,Yes,Yes,Yes
Alvin Bowman,ips,94,Yes,Yes,Yes,Yes
Maxine Cooke,ipa,95,No,Yes,No,Yes
Jordan Richards,ips,81,No,Yes,No,No
Orlando Slater,ips,81,No,No,No,No
Mufutau David,ips,89,Yes,Yes,Yes,Yes
Axel Perry,ips,96,No,No,No,Yes
Oren Lester,ipa,97,Yes,No,Yes,Yes
Robert Roach,ipa,96,Yes,No,No,Yes
Trevor Fitzgerald,ipa,82,No,No,No,No
Gwendolyn Hendrix,ips,98,No,Yes,No,Yes
Jillian Barlow,ipa,93,No,No,Yes,Yes
David Murray,ips,86,No,Yes,No,No
Howard Guthrie,ips,82,No,No,No,No
Keefe Mcneil,ips,90,No,No,No,Yes
Cassidy Lang,ips,93,No,No,Yes,Yes
Raya Chang,ips,85,Yes,No,No,No
Marshall Burnett,ips,83,Yes,No,No,No
Gary Conner,ipa,92,No,Yes,Yes,Yes
Nelle Oliver,ipa,80,Yes,No,No,No
Karly Boone,ipa,89,No,No,No,Yes
Lee Chapman,ipa,84,No,Yes,Yes,No
Logan Townsend,ips,96,No,No,No,Yes
Denise Reynolds,ipa,89,Yes,Yes,Yes,Yes
Curran Tyler,ips,96,Yes,Yes,Yes,Yes
Caesar Stark,ips,90,Yes,No,Yes,Yes
Lane Moss,ips,93,Yes,Yes,Yes,Yes
Macaulay Webster,ips,84,Yes,Yes,Yes,No
Flynn Maxwell,ips,97,Yes,No,Yes,Yes
Patricia Frederick,ipa,83,Yes,Yes,No,No
Duncan Vance,ips,86,Yes,Yes,No,No
Len Buchanan,ipa,89,Yes,No,Yes,Yes
Signe Nolan,ipa,98,Yes,Yes,No,Yes
Kermit Saunders,ipa,89,No,Yes,No,Yes
Tyrone Austin,ips,85,No,Yes,No,No
Cyrus Hobbs,ipa,83,No,No,No,No
Hedley Glenn,ipa,92,Yes,Yes,No,Yes
Lucas Cruz,ips,98,Yes,Yes,No,Yes
Arthur Norris,ips,84,No,No,No,No
Maya Acosta,ipa,91,No,No,Yes,Yes
Nash Weaver,ipa,88,Yes,Yes,No,Yes
Todd Downs,ipa,88,Yes,No,No,Yes
Kessie Dillard,ipa,93,No,Yes,No,Yes
Lars Carroll,ips,81,No,Yes,Yes,No
Aretha O'brien,ips,82,Yes,No,No,No
Robin Irwin,ips,84,Yes,Yes,No,No
Kai Morales,ips,87,No,Yes,No,No
Alexander Callahan,ipa,97,Yes,No,No,Yes
Amethyst Little,ipa,94,Yes,No,Yes,No
Wanda Mcmillan,ips,89,Yes,No,No,Yes
Bruce Swanson,ips,87,No,No,No,Yes
Burton Farmer,ips,90,Yes,No,Yes,Yes
Lawrence Parsons,ipa,84,Yes,Yes,Yes,No
Hannah Cooke,ipa,81,No,No,Yes,No
Dalton Alexander,ips,84,Yes,Yes,Yes,No
Zeus Logan,ipa,81,Yes,No,Yes,No
Cedric Valentine,ipa,84,Yes,Yes,No,No
Warren Logan,ipa,84,Yes,No,No,No
Rinah Ewing,ips,92,Yes,Yes,No,Yes
Benedict Cote,ips,91,Yes,No,No,Yes
Bert Byrd,ipa,93,Yes,No,No,Yes
Ethan Adkins,ipa,85,No,No,Yes,No
Holmes Sawyer,ipa,96,Yes,No,No,Yes
Oleg Barlow,ipa,94,No,Yes,No,Yes
Thane Carroll,ipa,80,No,No,No,No
Chandler Brock,ips,93,Yes,No,No,Yes
Tara Bonner,ips,86,No,Yes,Yes,No
Signe Gutierrez,ips,86,No,Yes,No,No
Joel Blanchard,ips,98,No,No,No,Yes
Damian Gibson,ipa,84,No,Yes,No,No
Xavier Joyce,ipa,92,No,Yes,Yes,Yes
Alisa Moss,ipa,97,No,Yes,No,Yes
Sonya Williamson,ipa,84,Yes,Yes,No,No
Zia Daugherty,ipa,86,Yes,Yes,No,No
Xavier Spence,ipa,82,No,Yes,Yes,No
Vaughan Moran,ips,81,Yes,No,Yes,No
Melanie Benton,ipa,92,Yes,No,No,Yes
Kaye Henry,ips,82,Yes,No,Yes,No
Uriah Walsh,ipa,83,Yes,Yes,No,No
Owen Jimenez,ips,83,Yes,Yes,Yes,No
Ina Avery,ips,95,No,Yes,Yes,Yes
Sybill Petty,ipa,89,No,Yes,Yes,Yes
Pearl Bowers,ipa,82,Yes,Yes,Yes,No
Mara Sharp,ips,81,No,Yes,No,No
Mollie Prince,ips,89,No,No,Yes,Yes
Jerome Russo,ipa,90,Yes,Yes,No,Yes
Kieran Villarreal,ipa,88,Yes,Yes,Yes,Yes
Maisie Ellis,ipa,80,No,Yes,No,No
Alfreda Emerson,ips,91,No,No,No,Yes
Brenda Jarvis,ipa,81,No,No,No,No
MacKensie Strickland,ipa,93,No,Yes,No,Yes
Sylvia Preston,ips,98,Yes,No,Yes,Yes
Pandora Todd,ipa,91,Yes,Yes,No,Yes
Kennedy Calderon,ipa,89,No,Yes,No,Yes
Jasper Acevedo,ipa,84,No,No,Yes,No
Justina Rosario,ipa,97,No,No,Yes,Yes
Quinlan Flowers,ips,98,No,No,No,Yes
Faith Jensen,ipa,82,Yes,No,No,No
Alma Farmer,ips,96,No,Yes,No,Yes
Hiram Butler,ips,85,No,No,Yes,Yes
Karyn Norris,ipa,85,Yes,Yes,No,No
Guinevere Wood,ips,80,No,No,Yes,No
Hector Blake,ipa,84,No,No,No,No
Abel Salazar,ips,84,Yes,Yes,Yes,No
Devin Rasmussen,ips,83,Yes,Yes,No,No
Macaulay Waller,ips,91,Yes,Yes,Yes,Yes
Zeph Dillon,ipa,92,No,No,No,Yes
Elvis Jefferson,ipa,90,No,No,No,Yes
Brenna Hill,ipa,82,Yes,No,No,No
Leo Mcgowan,ips,88,No,No,No,Yes
Abra Solomon,ipa,92,Yes,No,Yes,Yes
Mohammad Clayton,ipa,96,Yes,No,No,Yes
Deacon Fitzpatrick,ipa,95,Yes,Yes,No,Yes
Anika Daniel,ipa,97,Yes,Yes,Yes,Yes
Georgia Serrano,ipa,84,Yes,No,Yes,No
Pearl Combs,ipa,95,Yes,Yes,Yes,Yes
Isadora Kim,ips,89,Yes,No,No,Yes
Fritz Weaver,ipa,90,No,Yes,No,Yes
Jordan Gates,ips,94,Yes,No,Yes,Yes
Shad Roberson,ipa,87,Yes,Yes,Yes,No
Nathan Valdez,ips,82,No,Yes,Yes,Yes
Conan Munoz,ipa,90,Yes,No,Yes,Yes
Wayne Joseph,ips,85,Yes,No,Yes,Yes
Barry Burch,ipa,93,Yes,Yes,Yes,Yes
Grady Logan,ips,85,Yes,Yes,Yes,No
Katelyn Watkins,ipa,97,No,No,Yes,Yes
Zelenia Ware,ipa,98,Yes,Yes,Yes,Yes
Preston Saunders,ips,96,No,Yes,No,Yes
Aristotle Hanson,ipa,93,Yes,No,No,Yes
Germane Allison,ips,90,Yes,Yes,Yes,Yes
Edward Hunter,ips,90,No,No,No,Yes
Jenette Olsen,ips,96,No,No,Yes,Yes
Octavius Klein,ips,96,No,No,Yes,Yes
Destiny Hansen,ips,89,No,Yes,No,Yes
Rina Kirk,ipa,93,Yes,Yes,No,Yes
Tanner Beard,ipa,81,Yes,Yes,No,No
Astra Yates,ipa,95,No,Yes,Yes,Yes
Akeem Maynard,ips,91,Yes,No,Yes,Yes
Karly Savage,ipa,96,Yes,Yes,Yes,Yes
Wade Roach,ips,80,No,No,Yes,No
Jakeem Mcmahon,ipa,83,No,No,No,No
George Chen,ips,94,Yes,No,No,Yes
Sigourney Chambers,ipa,98,Yes,No,No,Yes
Marvin Skinner,ipa,91,No,No,No,Yes
Kaitlin Medina,ipa,80,Yes,No,Yes,No
Kasper Mclaughlin,ips,97,No,Yes,No,Yes
Odysseus Smith,ips,84,Yes,No,No,No
Carl Bailey,ips,89,Yes,No,Yes,Yes
Zahir Duncan,ipa,87,No,Yes,Yes,No
Colette Larsen,ips,96,Yes,Yes,No,Yes
Lesley Hurst,ips,90,Yes,No,No,Yes
Sarah Mcfadden,ipa,96,Yes,No,No,Yes
Armand Medina,ips,83,No,No,Yes,No
Garrett Rich,ips,91,Yes,No,Yes,Yes
Jarrod Velazquez,ipa,82,No,No,No,No
Mary Fuentes,ipa,82,No,Yes,No,No
Rosalyn Cameron,ips,96,No,No,Yes,Yes
Anne Anderson,ips,90,Yes,No,No,Yes
Dorian Pacheco,ips,81,Yes,No,No,No
Ferdinand Brewer,ipa,81,No,No,Yes,No
Lysandra Briggs,ipa,85,No,Yes,Yes,No
Katelyn Morris,ipa,89,Yes,No,No,Yes
Jamal Gay,ipa,90,Yes,No,Yes,Yes
Ila Howell,ipa,96,Yes,No,No,Yes
Carter Barr,ipa,92,No,No,Yes,Yes
Yoshio Nielsen,ips,84,Yes,No,Yes,No
Marcia Wilcox,ips,88,Yes,Yes,No,Yes
Ariana Delacruz,ipa,84,No,Yes,No,No
Clare Woods,ipa,87,No,Yes,Yes,No
Megan Cote,ipa,92,Yes,No,No,Yes
Mechelle Barry,ipa,85,No,Yes,No,No
Edan Fuller,ips,83,Yes,Yes,No,No
Phelan Nguyen,ips,85,Yes,Yes,Yes,No
Elvis Farrell,ips,95,Yes,No,Yes,Yes
Mariko Garrett,ips,98,No,Yes,Yes,Yes
Dustin Sullivan,ipa,90,Yes,No,No,Yes
Lacey Rowland,ips,82,Yes,No,No,No
Latifah Myers,ipa,94,No,Yes,No,Yes
Ifeoma Blake,ipa,82,Yes,Yes,No,Yes
Branden Soto,ipa,87,No,No,Yes,No
Camilla Wilson,ips,94,Yes,Yes,Yes,Yes
Mark Carver,ipa,88,No,No,Yes,Yes
Iliana Dyer,ips,97,No,Yes,Yes,Yes
Zephania Fulton,ipa,97,Yes,Yes,No,Yes
Kiara Hester,ipa,86,No,No,Yes,No
Dean Mccullough,ipa,92,Yes,No,Yes,Yes
Alika Jenkins,ips,83,No,Yes,No,No
Tatyana Holland,ips,83,No,No,Yes,No
Ora Frank,ipa,87,Yes,No,Yes,No
Tanek Rosario,ipa,98,No,Yes,Yes,Yes
Gary Lambert,ipa,88,Yes,Yes,No,Yes
Jessamine Stewart,ips,91,Yes,Yes,Yes,Yes
Justine Moss,ipa,89,No,No,Yes,Yes
Emma Mckenzie,ips,82,No,Yes,No,No
Sandra Sampson,ipa,92,No,Yes,No,Yes
Bevis Ellis,ipa,91,No,Yes,No,Yes
Indigo Ryan,ips,84,Yes,No,No,No
Ainsley Weiss,ipa,90,No,No,No,Yes
Fay Andrews,ipa,97,No,Yes,Yes,Yes
Alexa Whitley,ips,83,Yes,Yes,Yes,No
Forrest Wong,ipa,97,Yes,No,Yes,Yes
Paki Page,ipa,94,Yes,Yes,No,Yes
Beverly Guy,ips,92,Yes,Yes,No,Yes
Hyacinth Mcgee,ipa,97,Yes,No,No,Yes
Bevis Newman,ipa,94,No,No,Yes,Yes
Yardley Navarro,ipa,88,No,Yes,No,Yes
Todd Jensen,ips,97,Yes,Yes,No,Yes
Hall Peterson,ips,94,No,No,No,Yes
Oprah Fernandez,ipa,96,Yes,No,No,Yes
Hall French,ips,96,Yes,Yes,No,Yes
Kibo Lang,ipa,98,Yes,No,Yes,Yes
Kuame Porter,ips,83,No,Yes,No,No
Charlotte Landry,ips,86,No,No,Yes,No
Lillith Molina,ipa,97,No,No,Yes,Yes
Reese Berry,ips,90,Yes,No,No,Yes
Vernon Barber,ipa,87,No,No,No,No
Joshua Joseph,ipa,87,No,Yes,Yes,No
Ava Salinas,ips,87,Yes,No,No,No
Fleur Mays,ipa,94,No,No,Yes,Yes
Macey Giles,ipa,81,Yes,Yes,No,No
Leroy Marshall,ips,86,Yes,No,No,No
Dustin Clemons,ipa,82,No,Yes,No,No
Lael Young,ips,85,No,Yes,Yes,Yes
Ashton Armstrong,ips,85,Yes,No,Yes,No
Gail Pace,ipa,96,Yes,Yes,Yes,Yes
Hedda Black,ips,82,No,No,Yes,No
Lance Ball,ipa,83,Yes,No,Yes,No
Odette Melton,ips,98,No,Yes,No,Yes
Phoebe Mooney,ipa,83,Yes,No,Yes,No
Tyler Mcgee,ipa,85,Yes,No,Yes,No
Barbara Donaldson,ipa,96,No,No,No,Yes
Trevor Small,ips,87,No,No,Yes,No
Caesar Pruitt,ips,86,No,Yes,No,No
Xena Mclean,ips,93,No,No,Yes,Yes
Dieter Hopper,ips,89,No,Yes,Yes,Yes
Raven Mills,ipa,92,No,Yes,No,Yes
Fulton Woods,ips,88,Yes,Yes,No,Yes
Alexander Anderson,ips,96,Yes,No,Yes,Yes
Adara Stuart,ipa,87,Yes,No,No,No
Uma Lynn,ipa,91,No,Yes,No,Yes
Karyn Alston,ipa,86,Yes,No,No,No
Finn Small,ipa,89,No,No,No,Yes
Lewis Spencer,ips,84,No,Yes,Yes,No
Graham Cardenas,ipa,84,Yes,No,Yes,No
Dominique Glenn,ips,87,No,No,Yes,No
Timon Sparks,ips,97,No,No,Yes,Yes
Violet Mcmillan,ipa,85,Yes,Yes,No,No
Teegan Houston,ips,90,Yes,No,Yes,Yes
Brock Case,ipa,98,No,No,No,Yes
Riley Knight,ips,87,No,No,No,No
Cody Gillespie,ipa,95,Yes,No,Yes,Yes
Xanthus Ruiz,ipa,87,No,No,Yes,Yes
Samantha Hicks,ipa,83,Yes,No,Yes,No
Cadman Hall,ips,90,Yes,Yes,No,Yes
Farrah Snyder,ipa,97,No,No,No,Yes
Kessie Reed,ipa,92,No,Yes,No,Yes
Jael Morgan,ipa,83,Yes,Yes,No,No
Steel Montoya,ips,83,No,Yes,Yes,No
Aline Gonzalez,ipa,90,No,No,Yes,Yes
Noelani Castaneda,ipa,81,Yes,Yes,Yes,No
Fritz Tanner,ips,83,No,Yes,No,Yes
Stella Lloyd,ipa,97,No,No,Yes,Yes
Quinlan Shepherd,ips,87,No,No,Yes,No
Maris Reyes,ips,89,Yes,No,Yes,Yes
Maxine Jarvis,ipa,86,Yes,Yes,Yes,No
Pascale Gamble,ipa,88,Yes,No,No,Yes
Hop Shaffer,ipa,84,No,Yes,No,No
Lucius Lee,ipa,95,No,Yes,No,Yes
Thor Oneil,ips,88,No,No,No,Yes
Skyler Richardson,ipa,96,No,No,Yes,Yes
Debra Finley,ips,97,Yes,No,No,Yes
Shad Webb,ips,89,No,Yes,No,Yes
Fritz Gallegos,ipa,85,No,Yes,No,No
Fuller Barrett,ips,93,No,No,No,Yes
Sawyer Pennington,ipa,88,Yes,Yes,No,Yes
Hilary Guerrero,ipa,98,Yes,No,No,Yes
David Jordan,ips,87,No,Yes,No,No
Breanna King,ipa,96,Yes,Yes,No,Yes
Chaney Wynn,ips,98,No,No,No,Yes
Jane Barr,ips,95,Yes,Yes,Yes,Yes
Rahim Lamb,ipa,93,No,No,Yes,Yes
Imani Romero,ipa,87,Yes,Yes,Yes,No
Karen Silva,ipa,84,No,Yes,Yes,No
Penelope Wall,ips,84,Yes,No,Yes,No
Ivan Stone,ips,85,No,Yes,No,No
Cathleen Lang,ips,92,Yes,Yes,Yes,Yes
Carolyn Peters,ipa,85,No,No,Yes,No
Karleigh Sheppard,ips,91,No,No,No,Yes
Jeanette Lee,ips,93,Yes,Yes,Yes,Yes
Dahlia Oneal,ipa,98,Yes,No,No,Yes
Kameko Brock,ipa,81,No,No,Yes,No
Michelle York,ips,88,Yes,Yes,No,Yes
Darrel Sandoval,ipa,97,Yes,No,No,Yes
Warren Riggs,ipa,82,Yes,Yes,Yes,No
Ruth Mendez,ipa,94,No,No,Yes,Yes
Charissa Dale,ipa,84,Yes,Yes,Yes,No
Odysseus Steele,ips,90,Yes,No,Yes,Yes
Gail Solomon,ips,94,Yes,No,No,Yes
Mira Mullins,ipa,94,No,No,No,Yes
Grace Clay,ipa,91,No,Yes,No,Yes
Stone Moreno,ipa,84,No,No,Yes,No
August Mcknight,ipa,96,Yes,Yes,Yes,Yes
Callum Barrett,ips,86,Yes,No,No,No
Abigail Zamora,ipa,88,No,No,Yes,Yes
Orson Huff,ips,81,No,No,Yes,No
Lucy Nieves,ips,95,Yes,Yes,No,Yes
Nevada Molina,ipa,89,Yes,No,No,Yes
Dolan Fry,ips,89,Yes,No,No,Yes
Josiah Kerr,ips,83,No,No,No,No
Pascale Stephens,ips,84,No,No,No,No
Keefe Schmidt,ipa,85,No,Yes,Yes,No
Calvin Mckinney,ips,96,Yes,Yes,No,Yes
Melanie Poole,ips,87,No,No,Yes,No
Xyla Russo,ips,97,No,No,No,Yes
Beatrice Sweet,ipa,82,No,Yes,Yes,No
Lael Wong,ipa,89,Yes,No,Yes,Yes
Jarrod Waller,ips,85,No,Yes,No,No
Deirdre Pollard,ips,81,No,No,Yes,No
Macy Luna,ips,86,No,Yes,Yes,No
Cyrus Peterson,ips,94,No,Yes,Yes,Yes
Fletcher Briggs,ipa,95,No,No,No,Yes
Skyler Dickerson,ipa,84,Yes,No,No,No
Holmes Ewing,ips,84,Yes,Yes,No,No
Daquan Santos,ips,81,Yes,Yes,Yes,No
Sandra Sanford,ips,96,Yes,No,Yes,Yes
Haley Gross,ips,84,Yes,No,Yes,No
Bruce Moon,ips,95,Yes,No,No,Yes
Kelsie Mclean,ipa,97,Yes,No,Yes,Yes
Macy Banks,ipa,83,No,Yes,Yes,No
Geoffrey Stevenson,ips,82,Yes,Yes,No,No
Celeste Ochoa,ipa,94,Yes,Yes,Yes,Yes
Donna Aguilar,ips,81,No,No,Yes,No
Ivy Stafford,ips,95,Yes,Yes,No,Yes
Jada Gamble,ips,85,No,No,Yes,No
Alisa Guthrie,ipa,86,No,No,No,No
Gisela Donaldson,ips,87,No,Yes,Yes,No
Vivien Hawkins,ipa,96,Yes,No,Yes,Yes
Sylvia Willis,ipa,87,Yes,No,Yes,No
Megan Dawson,ips,88,Yes,Yes,Yes,Yes
Joel Gonzalez,ips,81,Yes,Yes,No,No
Aretha Delaney,ipa,87,Yes,No,No,No
Gillian Patton,ipa,89,No,No,No,Yes
Candice Sweeney,ips,84,No,Yes,Yes,No
Leandra Doyle,ipa,92,No,No,No,Yes
Sylvester Oliver,ips,84,Yes,Yes,No,No
Nomlanga Mack,ipa,89,No,Yes,Yes,Yes
Bell Wiley,ipa,97,No,Yes,No,Yes
Vanna Hicks,ips,96,Yes,No,Yes,Yes
Lucius Cook,ipa,97,No,Yes,No,Yes
Hall Wyatt,ips,85,No,Yes,Yes,No
Owen Parsons,ipa,81,No,Yes,Yes,No
Burke Forbes,ipa,93,No,No,Yes,Yes
Charissa Cleveland,ips,90,Yes,Yes,Yes,Yes
Holly Boone,ips,81,No,Yes,Yes,No
Gary Coleman,ips,82,Yes,Yes,Yes,No
Colette Hancock,ipa,81,Yes,No,Yes,No
Ignatius Mccarty,ipa,89,Yes,Yes,No,Yes
Hector Snyder,ipa,98,Yes,No,No,Yes
Harding Mckay,ips,82,Yes,No,No,No
Hilary Schneider,ipa,95,Yes,Yes,Yes,Yes
Illana Mason,ips,90,No,No,No,Yes
Serina Heath,ipa,90,No,Yes,No,Yes
Angelica Byers,ipa,92,No,No,No,Yes
Brent Mercer,ips,83,Yes,Yes,No,No
Blake Atkins,ips,98,No,Yes,Yes,Yes
Bryar Mcneil,ips,81,No,No,Yes,Yes
Ramona Ramos,ipa,82,No,No,No,No
Leilani Mendez,ipa,91,No,No,Yes,Yes
Cadman Waters,ips,83,Yes,No,No,Yes
Len Hewitt,ipa,82,No,No,No,No
Nayda Hurley,ipa,90,Yes,Yes,No,Yes
Ebony Maynard,ipa,97,Yes,No,Yes,Yes
Felix Sharp,ipa,98,Yes,No,No,Yes
Hadassah Ayala,ips,91,No,Yes,No,Yes
Illana Collins,ips,84,No,Yes,No,No
Martena Bell,ipa,92,No,No,Yes,Yes
Tad Ayala,ipa,97,Yes,No,No,Yes
Nolan Lawrence,ips,97,Yes,No,Yes,Yes
Ivan Hull,ips,84,Yes,No,Yes,No
Xenos Cooper,ipa,87,Yes,No,Yes,No
Frances Oliver,ipa,90,No,Yes,No,Yes
Kaye Bray,ipa,92,No,No,Yes,Yes
Idona Velez,ips,86,No,No,No,No
Brady Guy,ipa,89,Yes,Yes,No,Yes
Christian Whitaker,ipa,89,Yes,No,Yes,Yes
Ignatius Lloyd,ips,97,No,Yes,No,Yes
Joshua Morrow,ips,86,No,Yes,Yes,No
Barry Sheppard,ipa,92,No,No,Yes,Yes
Daniel Chase,ips,96,Yes,No,No,Yes
Sigourney Calderon,ips,87,No,Yes,Yes,No
Carly Finch,ips,86,No,No,Yes,No
Brett Garrett,ips,83,Yes,Yes,No,No
Ian Manning,ipa,81,Yes,No,Yes,No
Joshua Espinoza,ips,85,Yes,No,No,No
Kato Petersen,ips,95,Yes,No,Yes,Yes
Kyra Greene,ipa,96,No,Yes,No,Yes
Hakeem Beach,ipa,83,Yes,No,Yes,No
Ferdinand Guerrero,ips,97,Yes,No,Yes,Yes
Olivia Gonzalez,ips,82,Yes,Yes,No,No
Abbot Shaffer,ips,95,Yes,Yes,Yes,Yes
Wanda Maxwell,ipa,94,No,Yes,Yes,Yes
Callum Chambers,ipa,96,Yes,Yes,Yes,Yes
Forrest Anderson,ipa,91,No,No,No,Yes
Mason Rosario,ips,91,Yes,No,No,Yes
Abraham Simmons,ips,90,No,Yes,No,Yes
Zenia Hutchinson,ipa,91,Yes,Yes,Yes,Yes
Hadassah Lindsey,ipa,93,No,Yes,Yes,Yes
Melissa Dawson,ipa,90,No,Yes,Yes,Yes
Kirk Fernandez,ips,96,No,Yes,Yes,Yes
Laurel Spencer,ipa,97,Yes,No,Yes,Yes
Signe Hamilton,ips,88,Yes,No,No,Yes
Olga Pratt,ipa,92,Yes,No,No,Yes
